skeptycal/3d	3D!	public, fork	2013-09-18T13:19:57Z
skeptycal/AWS-CheatSheet	☁️ The AWS Cheat Sheet ☁️	public, fork	2018-12-22T21:05:50Z
skeptycal/AlgorithmEngineering	implementation of some algorithms seen during the Algorithm Engineer course @ UniPi	public, fork	2018-02-20T16:55:23Z
skeptycal/Algorithms	This monthly meetup focuses on white boarding algorithms.	public, fork	2018-09-18T19:48:59Z
skeptycal/Algorithms-1	Collection of algorithms in multiple programming languages.	public, fork	2018-10-05T04:16:08Z
skeptycal/Algorithms-3	Various exercises i did as preperation for job interviews.	public, fork	2014-04-16T17:07:40Z
skeptycal/Algorithms-Explanation	All Algorithms explained in simple English Language with example and links to their implementation in various programming languages and other required resources.	public, fork	2018-10-04T14:30:36Z
skeptycal/Artificial-Intelligence-IAIN532C		public, fork	2018-10-15T17:38:21Z
skeptycal/Awesome-Hacking	A collection of various awesome lists for hackers, pentesters and security researchers	public, fork	2018-09-02T15:03:49Z
skeptycal/BracketHighlighter	Bracket and tag highlighter for Sublime Text http://facelessuser.github.io/BracketHighlighter/	public, fork	2019-01-25T14:31:02Z
skeptycal/Cake	A delicious, quality‑of‑life supplement for your app‑development toolbox.	public, fork	2019-06-04T13:20:00Z
skeptycal/Data-Mining	With data, you can build a kingdom.	public, fork	2018-09-21T10:46:11Z
skeptycal/Data-Visualization-College-Alumni-Salary	Data visualization project using college alumni salary data	public, fork	2017-11-07T11:35:34Z
skeptycal/DataMining		public, fork	2015-07-22T09:55:08Z
skeptycal/Data_Modelling_and_Computing	Materials for ETC1010, semester 2, 2018	public, fork	2018-10-23T21:43:10Z
skeptycal/Deep-Learning-Papers-Reading-Roadmap	Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!	public, fork	2016-10-21T15:38:59Z
skeptycal/DeepLearning	Deep Learning (Python, C, C++, Java, Scala, Go)	public, fork	2017-12-04T06:01:51Z
skeptycal/FFmpeg	Mirror of git://source.ffmpeg.org/ffmpeg.git	public, fork	2019-01-11T16:15:17Z
skeptycal/Faker-php	The easiest way to generate fake data in PHP.	public, fork	2016-01-14T21:06:16Z
skeptycal/Fibonacci_designs	Laser your laptop with a design based on the Fibonacci spiral	public, fork	2015-07-17T21:43:23Z
skeptycal/FiraCode	Monospaced font with programming ligatures	public, fork	2018-12-17T03:23:15Z
skeptycal/Gender-diversity-film-industry	This project focuses on some key behind-the-camera roles in the film industry to measure the evolution of their gender diversity in the last decade, from 2007 until 2017.	public, fork	2018-07-04T16:22:42Z
skeptycal/Gender-diversity-series-industry	This project focuses on some key behind-the-camera roles in the Series Industry to measure the evolution of their gender diversity in the last decade. It also compares the Series Industry to the Film Industry.	public, fork	2018-08-03T12:28:31Z
skeptycal/GenerateMe	Processing scripts used to generative glitch / art / design	public, fork	2018-05-27T15:29:06Z
